ACCT,3120,Intermediate Financial Acc,16%,41%,24%,3%,3%,0%,0%,14%,0%,"Knause, Terry Daniel"
ACCT,3120,Intermediate Financial Acc,38%,41%,15%,0%,3%,0%,0%,3%,0%,"Knause, Terry Daniel"
ACCT,3120,Intermediate Financial Acc,30%,25%,35%,3%,5%,0%,0%,3%,0%,"Knause, Terry Daniel"
ACCT,3120,Intermediate Financial Acc,36%,38%,15%,5%,5%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3120,Intermed Fin Acct II (HON),83%,17%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3130,Analytics for Acct Dec Mak,35%,26%,35%,3%,0%,0%,0%,0%,0%,"Mammadov, Babak"
ACCT,3130,Analytics for Acct Dec Mak,31%,31%,27%,0%,4%,0%,0%,8%,0%,"Mammadov, Babak"
ACCT,3130,Analytics for Acct Dec Mak,21%,48%,14%,7%,7%,0%,0%,3%,0%,"Davis-Culler, Phebian L"
ACCT,3130,Analytics for Acct Dec Mak,29%,26%,29%,6%,6%,0%,0%,3%,0%,"Davis-Culler, Phebian L"
ACCT,3130,Analytics for Acct Dec Mak,8%,42%,38%,12%,0%,0%,0%,0%,0%,"Davis-Culler, Phebian L"
ACCT,3130,Analytics for Acct Dec Mak,61%,23%,16%,0%,0%,0%,0%,0%,0%,"Barnes, James D"
ACCT,3220,Accounting Information Sy,4%,12%,28%,16%,24%,0%,0%,16%,0%,"Maiberger, Philip A"
ACCT,3220,Accounting Information Sy,39%,14%,18%,11%,14%,0%,0%,4%,0%,"Maiberger, Philip A"
ACCT,3220,Accounting Information Sy,32%,25%,32%,7%,0%,0%,0%,4%,0%,"Maiberger, Philip A"
ACCT,3220,Accounting Information Sy,47%,47%,7%,0%,0%,0%,0%,0%,0%,"Martin, Caleb Jay"
ACCT,4040,Individual Taxation,58%,29%,10%,0%,3%,0%,0%,0%,0%,"Martin, Sarah L"
ACCT,4040,Individual Taxation,78%,19%,3%,0%,0%,0%,0%,0%,0%,"Martin, Sarah L"
ACCT,4040,Individual Taxation,78%,14%,8%,0%,0%,0%,0%,0%,0%,"Gibson, Mary Robinson"
ACCT,4040,Individual Taxation,64%,28%,8%,0%,0%,0%,0%,0%,0%,"Gibson, Mary Robinson"
ACCT,4100,Reporting and Mgmt Contr,20%,49%,29%,3%,0%,0%,0%,0%,0%,"McPhee, Gregory Patrick"
ACCT,4100,Reporting and Mgmt Contr,35%,53%,12%,0%,0%,0%,0%,0%,0%,"McPhee, Gregory Patrick"
ACCT,4150,Auditing,54%,32%,14%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy Michael"
ACCT,4150,Auditing,50%,39%,11%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy Michael"
ACCT,8520,Fin Acct Theory/Res,34%,55%,10%,0%,0%,0%,0%,0%,0%,"Welton, Ralph Edward"
ACCT,8520,Fin Acct Theory/Res,17%,78%,0%,0%,4%,0%,0%,0%,0%,"Welton, Ralph Edward"
ACCT,8540,Prof Responsibility,46%,54%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D"
ACCT,8540,Prof Responsibility,52%,48%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D"
ACCT,8540,Prof Responsibility,52%,43%,0%,0%,5%,0%,0%,0%,0%,"Barnes, James D"
ACCT,8560,CPA Exam Review-A,0%,0%,0%,0%,0%,98%,2%,0%,0%,"Pearse, Suzanne"
ACCT,8580,CPA Exam Review-F,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Pearse, Suzanne"
ACCT,8620,Financial Auditing,81%,19%,0%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee"
ACCT,8620,Financial Auditing,57%,40%,0%,0%,3%,0%,0%,0%,0%,"Harp, Nancy Lee"
ACCT,8710,Corporate Taxation,38%,53%,9%,0%,0%,0%,0%,0%,0%,"Dalton, Derek W."
ACCT,8710,Corporate Taxation,23%,65%,13%,0%,0%,0%,0%,0%,0%,"Dalton, Derek W."
ACCT,8710,Corporate Taxation,13%,67%,17%,0%,4%,0%,0%,0%,0%,"Dalton, Derek W."
