Course,Title,A,B,C,D,F,P,N(P),W,I,Number,Professor
SPAN,"SPAN2010Logue, Nora Arostegui",64%,32%,4.50%,0%,0%,0%,0%,0%,0%,2010,"Logue, Nora Arostegui"
SPAN,"SPAN2010Pillcurima, Rosa Macarena",61.50%,24.50%,4.50%,2.50%,2.50%,0%,0%,4%,0%,2010,"Pillcurima, Rosa Macarena"
SPAN,"SPAN2010Schmucker, Ellory W",72%,18%,4%,2%,0%,0%,0%,4%,0%,2010,"Schmucker, Ellory W"
SPAN,"SPAN2010Williamson, Debra Oaks",59.50%,26%,12.50%,0%,0%,0%,0%,2.50%,0%,2010,"Williamson, Debra Oaks"
SPAN,"SPAN2020Logue, Nora Arostegui",48.50%,37%,11%,2%,0%,0%,0%,2%,0%,2020,"Logue, Nora Arostegui"
SPAN,"SPAN2020Miller, Ana Paula E",68.33%,21.67%,8.33%,0%,0%,0%,0%,2%,0%,2020,"Miller, Ana Paula E"
SPAN,"SPAN2020Ortiz, Jose Luis",58.50%,26%,5%,3.50%,2.50%,0%,0%,5%,0%,2020,"Ortiz, Jose Luis"
SPAN,"SPAN2020Persico, Melva Marguerite",50%,34.50%,6%,3.50%,3.50%,0%,0%,2.50%,0%,2020,"Persico, Melva Marguerite"
SPAN,"SPAN2020Pillcurima, Rosa Macarena",62%,24%,4%,0%,4%,0%,0%,6%,0%,2020,"Pillcurima, Rosa Macarena"
SPAN,Intermediate Spanish,64%,24%,8%,0%,0%,0%,0%,4%,0%,2020,"Schmucker, Ellory W"
SPAN,"SPAN2020Tejera, Mercedes",88%,10%,2%,0%,0%,0%,0%,0%,0%,2020,"Tejera, Mercedes"
SPAN,Intermediate Spanish,50%,43%,7%,0%,0%,0%,0%,0%,0%,2020,"Williams, Eben-Ezer Magnus"
SPAN,Spanish Comp for Health P,91%,9%,0%,0%,0%,0%,0%,0%,0%,3010,"Judez Riquelme, Maria Rosa"
SPAN,"SPAN3020Persico, Melva Marguerite",36%,42%,16%,0%,0%,0%,0%,6%,0%,3020,"Persico, Melva Marguerite"
SPAN,Intro Hispanic Literary For,68%,16%,11%,0%,0%,0%,0%,5%,0%,3040,"Oropesa, Salvador A"
SPAN,Intro Hispanic Literary For,70%,20%,5%,0%,0%,0%,0%,0%,5%,3040,"Palacios, George"
SPAN,Intermed Span Convers/Co,88%,13%,0%,0%,0%,0%,0%,0%,0%,3050,"Garcia Rodriguez, Alma Yadhira"
SPAN,Intermed Span Convers/Co,47%,24%,18%,6%,0%,0%,0%,6%,0%,3050,"Garcia Vieyra, Daniel David"
SPAN,Intermed Span Convers/Co,76%,12%,0%,0%,4%,0%,0%,8%,0%,3050,"Tejera, Mercedes"
SPAN,Span Comp for Bus,84%,5%,0%,11%,0%,0%,0%,0%,0%,3060,"Garcia Vieyra, Daniel David"
SPAN,The Hispanic World: Spain,70%,9%,4%,0%,0%,0%,0%,17%,0%,3070,"Anido, Raquel"
